RespondentID,Engage,Develop,Teamwork & Trust,Sustainable Engagement
1098,16,7,6,13
1099,13,8,8,10
1100,20,13,6,12
1101,29,16,19,22
1102,16,6,6,9
1103,13,8,8,10
1104,21,16,12,16
1105,14,7,5,8
1106,32,16,11,16
1107,19,11,10,10
1108,14,9,5,8
1109,10,6,5,8
1110,14,7,5,7
1111,14,9,6,12
1112,19,9,9,11
1113,31,21,19,19
1114,20,16,12,16
1115,14,6,5,8
1116,14,6,6,8
1117,11,8,6,9
1118,21,9,10,12
1119,15,9,8,8
1120,23,14,15,11
1121,31,15,11,22
1122,24,16,17,16
1123,38,13,11,21
1124,32,17,10,26
1125,20,8,5,11
1126,32,17,14,20
1127,38,23,20,24
1128,41,25,19,27
1129,30,16,14,23
1130,17,11,9,10
1131,10,6,5,12
1132,24,9,6,9
1133,14,6,5,12
1134,14,7,5,8
1135,13,6,5,11
1136,20,10,9,11
1137,16,7,6,9
1138,23,12,12,16
1139,16,9,8,9
1140,21,12,11,18
1141,27,17,9,12
1142,30,16,14,20
1143,30,10,13,15
1144,44,25,21,27
1145,28,15,12,20
1146,14,6,5,8
1147,10,6,5,8
1148,21,9,8,12
1149,15,10,6,10
1150,22,16,15,11
1151,12,6,5,8
1152,22,9,9,16
1153,28,17,13,18
1154,13,6,5,9
1155,26,6,6,10
1156,28,14,16,12
1157,21,10,8,9
1158,14,11,10,14
1159,14,7,6,9
1160,23,14,7,15
1161,29,15,10,18
1162,23,12,10,14
1163,19,10,5,10
1164,16,7,6,10
1165,28,18,17,26
1166,20,9,6,10
1167,29,21,16,26
1168,14,9,6,10
1169,23,9,7,15
1170,34,23,16,19
1171,29,18,16,20
1172,11,5,5,8
1173,31,22,19,19
1174,13,7,5,10
1175,16,6,6,8
1176,29,16,10,17
1177,18,8,13,17
1178,27,15,10,20
1179,12,7,8,13
1180,27,14,7,15
1181,12,8,6,11
1182,24,14,12,17
1183,23,13,10,15
1184,13,6,5,9
1185,28,17,13,21
1186,38,23,15,22
1187,30,18,12,22
1188,20,7,8,10
1189,15,6,6,8
1190,11,7,5,9
1191,21,13,12,19
1192,26,17,18,17
1193,29,17,13,20
1194,36,21,13,19
1195,17,11,6,13
1196,19,11,8,14
1197,22,14,10,20
1198,22,13,12,10
1199,27,19,18,20
1200,35,20,14,24
1201,20,10,10,16
1202,22,15,11,22
1203,16,10,9,14
1204,25,12,11,17
1205,29,15,12,17
1206,24,17,4,14
1207,15,11,7,16
1208,19,10,8,15
1209,26,15,18,20
1210,12,7,9,10
1211,14,8,5,10
1212,17,8,6,8
